#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         523         -0.00345767           -0.474016           0.0162979
         524         -0.00345767           -0.473118           0.0162915
         525           -0.729513           -0.473606           0.0162678
         526           -0.729513           -0.474093           0.0162442
         527           -0.729513           -0.474578           0.0162206
         528           -0.935441            -0.47545           0.0162133
         529           -0.935441            -0.47632            0.016206
         530           -0.682865            -0.47671           0.0161801
         531           -0.244732           -0.476273           0.0161555
         532           -0.238252           -0.475825           0.0161313
         533          -0.0564332           -0.475039           0.0161203
         534          -0.0564332           -0.474255           0.0161091
         535           -0.194308           -0.473731           0.0160875
         536           -0.194308            -0.47321           0.0160659
         537           -0.194308           -0.472691           0.0160444
         538           -0.194308           -0.472173           0.0160229
         539           -0.194308           -0.471658           0.0160015
         540           -0.436956           -0.471594            0.015972
         541           -0.436956           -0.471529           0.0159426
         542           -0.436956           -0.471466           0.0159133
         543           -0.426514           -0.471383           0.0158842
         544           -0.426514             -0.4713           0.0158552
         545           -0.426514           -0.471218           0.0158263
         546           -0.982131           -0.472154            0.015825
         547           -0.837233           -0.472821           0.0158101
         548           -0.837233           -0.473486           0.0157953
         549           -0.837233           -0.474149           0.0157804
         550          -0.0060157           -0.473298           0.0157746
         551          -0.0060157            -0.47245           0.0157688
         552           -0.892478           -0.473211           0.0157586
         553           -0.116779           -0.472566           0.0157432
         554           -0.875804           -0.473294           0.0157316
         555           -0.875804           -0.474019             0.01572
         556           -0.875804           -0.474742           0.0157083
         557           -0.875804           -0.475462           0.0156966
         558            -1.07228           -0.476531           0.0157049
         559            -1.07228           -0.477597           0.0157129
         560           -0.985708           -0.478505            0.015711
         561           -0.421256           -0.478403           0.0156834
         562           -0.421256           -0.478301           0.0156558
         563           -0.421256           -0.478199           0.0156283
         564           -0.421256           -0.478099           0.0156009
         565           -0.258519            -0.47771           0.0155781
         566           -0.258519           -0.477323           0.0155554
         567            -1.03047           -0.478298           0.0155586
         568            -1.03047            -0.47927           0.0155615
         569            -1.03047           -0.480239           0.0155643
         570            -1.03047           -0.481204           0.0155669
         571           -0.947339           -0.482021            0.015561
         572           -0.947339           -0.482834           0.0155551
         573           -0.947339           -0.483645            0.015549
         574           -0.274875           -0.483281           0.0155262
         575            -0.24151           -0.482861           0.0155049
         576           -0.212781           -0.482392            0.015485
         577             -1.0011           -0.483291           0.0154843
         578           -0.865742           -0.483952           0.0154716
         579           -0.865742           -0.484612           0.0154589
         580         -0.00290562           -0.483781           0.0154546
         581         -0.00290562           -0.482954           0.0154501
         582         -0.00290562           -0.482129           0.0154456
         583         -0.00290562           -0.481307            0.015441
         584         -0.00290562           -0.480488           0.0154362
         585         -0.00290562           -0.479671           0.0154314
         586         -0.00290562           -0.478858           0.0154265
         587         -0.00290562           -0.478047           0.0154215
         588         -0.00290562           -0.477239           0.0154165
         589         -0.00290562           -0.476433           0.0154113
         590         -0.00290562           -0.475631           0.0154061
         591           -0.914872           -0.476374           0.0153979
         592           -0.914872           -0.477115           0.0153897
         593           -0.914872           -0.477853           0.0153815
         594           -0.914872           -0.478589           0.0153731
         595           -0.914872           -0.479322           0.0153648
         596           -0.914872           -0.480053           0.0153564
         597           -0.914872           -0.480781           0.0153479
         598         -0.00470962           -0.479985           0.0153429
         599         -0.00470962           -0.479192           0.0153378
         600         -0.00470962           -0.478401           0.0153326
         601         -0.00470962           -0.477613           0.0153273
         602         -0.00470962           -0.476827            0.015322
         603         -0.00470962           -0.476044           0.0153165
         604           -0.588962           -0.476231           0.0152923
         605            -1.02225           -0.477134           0.0152937
         606            -1.02225           -0.478033           0.0152949
         607            -1.02225            -0.47893           0.0152959
         608           -0.337018           -0.478696           0.0152725
         609          0.00138387           -0.477908           0.0152678
         610          0.00138387           -0.477122            0.015263
         611          0.00138387           -0.476339           0.0152581
         612          -0.0667373            -0.47567           0.0152478
         613           -0.763748            -0.47614           0.0152302
         614            -0.92006           -0.476863           0.0152225
         615            -0.10611            -0.47626           0.0152097
         616            -0.10611           -0.475659           0.0151969
         617            -0.10611            -0.47506            0.015184
